gene_id	gene_name	transcript_size
ENSG00000198856.12	OSTC	1077
ENSG00000164089.8	ETNPPL	2099
ENSG00000188517.14	COL25A1	4819
ENSG00000138802.11	SEC24B	5083
ENSG00000005059.15	CCDC109B	2278
ENSG00000138794.9	CASP6	1548
ENSG00000123739.10	PLA2G12A	5226
ENSG00000205403.12	CFI	2368
ENSG00000109534.16	GAR1	1224
ENSG00000180245.4	RRH	1455
ENSG00000183423.11	LRIT3	3781
ENSG00000138798.11	EGF	4880
ENSG00000170522.9	ELOVL6	6454
ENSG00000138792.9	ENPEP	6943
ENSG00000164093.15	PITX2	3359
ENSG00000174749.5	C4orf32	8901
ENSG00000138660.11	AP1AR	2902
ENSG00000145365.10	TIFA	4157
ENSG00000073331.17	ALPK1	5633
ENSG00000178403.3	NEUROG2	2287
ENSG00000138658.15	ZGRF1	6652
ENSG00000174720.15	LARP7	2332
ENSG00000145362.17	ANK2	14196
ENSG00000145349.16	CAMK2D	5820
ENSG00000180801.12	ARSJ	4657
ENSG00000174607.10	UGT8	4084
ENSG00000138653.9	NDST4	3439
ENSG00000270394.2	MTRNR2L13	1445
ENSG00000174599.5	TRAM1L1	2023
ENSG00000164100.8	NDST3	5961
ENSG00000164099.3	PRSS12	4809
ENSG00000145388.14	METTL14	6669
ENSG00000150961.14	SEC24D	4030
ENSG00000172403.10	SYNPO2	9920
ENSG00000172399.5	MYOZ2	2597
ENSG00000145390.11	USP53	6072
ENSG00000164096.12	C4orf3	2960
ENSG00000145384.3	FABP2	2478
ENSG00000138735.15	PDE5A	7154
ENSG00000164109.13	MAD2L1	5468
ENSG00000138738.10	PRDM5	5330
ENSG00000173376.13	NDNF	2885
ENSG00000050730.15	TNIP3	2416
ENSG00000186867.10	QRFPR	1708
ENSG00000164111.14	ANXA5	1762
ENSG00000164112.12	TMEM155	2389
ENSG00000123737.12	EXOSC9	3882
ENSG00000145386.9	CCNA2	2797
ENSG00000138686.9	BBS7	3752
ENSG00000138741.10	TRPC3	3675
ENSG00000138688.15	KIAA1109	15896
ENSG00000164113.10	ADAD1	1961
ENSG00000109471.4	IL2	1029
ENSG00000138684.7	IL21	707
ENSG00000181004.9	BBS12	3431
ENSG00000138685.12	FGF2	6775
ENSG00000170917.13	NUDT6	5306
ENSG00000145375.7	SPATA5	8137
ENSG00000164056.10	SPRY1	2608
ENSG00000151458.11	ANKRD50	8794
ENSG00000196159.11	FAT4	16123
ENSG00000164066.12	INTU	13233
ENSG00000151475.5	SLC25A31	1841
ENSG00000164070.11	HSPA4L	10790
ENSG00000142731.10	PLK4	3841
ENSG00000164073.9	MFSD8	4510
ENSG00000164074.14	ABHD18	5450
ENSG00000138709.17	LARP1B	4891
ENSG00000164040.16	PGRMC2	3785
ENSG00000077684.15	JADE1	5772
ENSG00000151466.11	SCLT1	3673
ENSG00000151470.12	C4orf33	6170
ENSG00000138650.8	PCDH10	8489
ENSG00000254535.3	PABPC4L	4944
ENSG00000189184.11	PCDH18	5906
ENSG00000151012.13	SLC7A11	9645
ENSG00000151014.5	NOCT	1952
ENSG00000109381.19	ELF2	4012
ENSG00000137463.4	MGARP	1339
ENSG00000109390.11	NDUFC1	1257
ENSG00000164134.12	NAA15	6222
ENSG00000172007.5	RAB33B	4562
ENSG00000145391.13	SETD7	7365
ENSG00000085871.8	MGST2	1780
ENSG00000196782.12	MAML3	6844
ENSG00000153130.17	SCOC	5129
ENSG00000153132.12	CLGN	3043
ENSG00000205301.11	MGAT4D	3783
ENSG00000179387.9	ELMOD2	4409
ENSG00000109424.3	UCP1	1462
ENSG00000109436.7	TBC1D9	5306
ENSG00000170153.10	RNF150	9805
ENSG00000109445.10	ZNF330	1899
ENSG00000164136.16	IL15	6026
ENSG00000109452.12	INPP4B	8831
ENSG00000170185.9	USP38	7009
ENSG00000109458.8	GAB1	7981
ENSG00000153147.5	SMARCA5	7923
ENSG00000183090.5	FREM3	6729
ENSG00000197465.13	GYPE	1684
ENSG00000250361.6	GYPB	632
ENSG00000170180.19	GYPA	2659
ENSG00000164161.9	HHIP	10072
ENSG00000164162.12	ANAPC10	1674
ENSG00000164163.10	ABCE1	3921
ENSG00000164164.15	OTUD4	7069
ENSG00000170365.9	SMAD1	3293
ENSG00000151611.13	MMAA	7068
ENSG00000237136.6	C4orf51	846
ENSG00000151612.15	ZNF827	7463
ENSG00000164167.9	LSM6	1352
ENSG00000120519.14	SLC10A7	3747
ENSG00000151615.3	POU4F2	3144
ENSG00000137473.17	TTC29	2226
ENSG00000151617.15	EDNRA	4135
ENSG00000164168.7	TMEM184C	4178
ENSG00000164169.12	PRMT9	3528
ENSG00000071205.11	ARHGAP10	8188
ENSG00000151623.14	NR3C2	5909
ENSG00000170390.15	DCLK2	4265
ENSG00000198589.10	LRBA	10032
ENSG00000181541.5	MAB21L2	2772
ENSG00000145425.9	RPS3A	1526
ENSG00000109686.17	SH3D19	5284
ENSG00000189099.11	PRSS48	989
ENSG00000164142.15	FAM160A1	4576
ENSG00000059691.11	GATB	6552
ENSG00000109670.13	FBXW7	4976
ENSG00000170006.11	TMEM154	10698
ENSG00000164144.14	ARFIP1	3424
ENSG00000169989.2	TIGD4	2472
ENSG00000137460.8	FHDC1	6583
ENSG00000109654.14	TRIM2	6735
ENSG00000121211.7	MND1	968
ENSG00000121210.15	KIAA0922	5017
ENSG00000137462.6	TLR2	4200
ENSG00000145428.14	RNF175	3203
ENSG00000145423.4	SFRP2	2032
ENSG00000197410.12	DCHS2	11249
ENSG00000171566.11	PLRG1	3351
ENSG00000171564.11	FGB	1975
ENSG00000171560.14	FGA	3678
ENSG00000171557.16	FGG	2031
ENSG00000121207.11	LRAT	5002
ENSG00000151962.7	RBM46	3626
ENSG00000185149.5	NPY2R	3626
ENSG00000164114.18	MAP9	7333
ENSG00000164116.16	GUCY1A3	4400
ENSG00000061918.12	GUCY1B3	3124
ENSG00000256394.2	ASIC5	1692
ENSG00000151790.8	TDO2	3139
ENSG00000256043.2	CTSO	2954
ENSG00000145431.10	PDGFC	4165
ENSG00000109738.10	GLRB	3126
ENSG00000120251.18	GRIA2	5621
ENSG00000164125.15	FAM198B	4985
ENSG00000164124.10	TMEM144	4872
ENSG00000171509.15	RXFP1	3930
ENSG00000205208.4	C4orf46	3521
ENSG00000171503.11	ETFDH	3282
ENSG00000171497.4	PPID	1823
ENSG00000052795.12	FNIP2	6925
ENSG00000164123.6	C4orf45	1215
ENSG00000109756.8	RAPGEF2	6949
ENSG00000168843.13	FSTL5	4831
ENSG00000145414.8	NAF1	2329
ENSG00000164128.6	NPY1R	3029
ENSG00000164129.11	NPY5R	3183
ENSG00000151005.4	TKTL2	2654
ENSG00000198498.9	TMA16	1978
ENSG00000145416.13	MARCH1	5877
ENSG00000248329.5	APELA	2602
ENSG00000183439.6	TRIM61	1582
ENSG00000250486.3	FAM218A	2175
ENSG00000176979.12	TRIM60	1888
ENSG00000170088.13	TMEM192	10012
ENSG00000109466.13	KLHL2	3134
ENSG00000052802.12	MSMO1	2269
ENSG00000109472.13	CPE	2421
ENSG00000038295.7	TLL1	6708
ENSG00000196104.10	SPOCK3	3061
ENSG00000109511.10	ANXA10	1417
ENSG00000137628.16	DDX60	6071
ENSG00000181381.13	DDX60L	6781
ENSG00000129116.17	PALLD	5809
ENSG00000145439.11	CBR4	3443
ENSG00000154447.14	SH3RF1	5272
ENSG00000137601.15	NEK1	5653
ENSG00000109572.13	CLCN3	6692
ENSG00000056050.6	C4orf27	1230
ENSG00000198948.11	MFAP3L	6318
ENSG00000109576.13	AADAT	2261
ENSG00000174473.15	GALNTL6	3922
ENSG00000109586.11	GALNT7	4307
ENSG00000164104.11	HMGB2	1889
ENSG00000164105.3	SAP30	1108
ENSG00000164106.7	SCRG1	4420
ENSG00000164107.8	HAND2	2780
ENSG00000164117.12	FBXO8	2577
ENSG00000164118.12	CEP44	4534
ENSG00000164120.13	HPGD	3027
ENSG00000145451.12	GLRA3	8770
ENSG00000168594.15	ADAM29	3386
ENSG00000150625.16	GPM6A	2854
ENSG00000150627.15	WDR17	4911
ENSG00000150628.6	SPATA4	2115
ENSG00000164122.8	ASB5	3031
ENSG00000129128.12	SPCS3	4571
ENSG00000150630.3	VEGFC	2064
ENSG00000109674.3	NEIL3	2408
ENSG00000038002.8	AGA	2107
ENSG00000218336.7	TENM3	10896
ENSG00000129187.14	DCTD	1972
ENSG00000151718.15	WWC2	8826
ENSG00000177300.6	CLDN22	2581
ENSG00000185758.7	CLDN24	663
ENSG00000168564.5	CDKN2AIP	2721
ENSG00000168556.6	ING2	1189
ENSG00000182552.14	RWDD4	2641
ENSG00000168538.15	TRAPPC11	4552
ENSG00000173320.9	STOX2	10458
ENSG00000164303.10	ENPP6	3936
ENSG00000168310.10	IRF2	2303
ENSG00000164305.17	CASP3	2673
ENSG00000164306.10	PRIMPOL	2289
ENSG00000151725.11	CENPU	1998
ENSG00000151726.13	ACSL1	4103
ENSG00000187821.8	HELT	1099
ENSG00000151729.10	SLC25A4	4440
ENSG00000164323.12	CFAP97	4852
ENSG00000109762.15	SNX25	3323
ENSG00000109771.15	LRP2BP	5157
ENSG00000186352.8	ANKRD37	1444
ENSG00000109775.10	UFSP2	2348
ENSG00000205129.8	C4orf47	1134
ENSG00000168491.9	CCDC110	2898
ENSG00000154553.13	PDLIM3	5137
ENSG00000154556.17	SORBS2	5996
ENSG00000164342.12	TLR3	6015
ENSG00000109794.13	FAM149A	2997
ENSG00000145476.15	CYP4V2	8646
ENSG00000164344.15	KLKB1	2363
ENSG00000088926.13	F11	2396
ENSG00000272297.2	RP11-215A19.2	700
ENSG00000168412.6	MTNR1A	1289
ENSG00000083857.13	FAT1	14786
ENSG00000179059.9	ZFP42	2651
ENSG00000179046.8	TRIML2	1639
ENSG00000184108.7	TRIML1	1797
ENSG00000109536.11	FRG1	1074
ENSG00000205097.6	FRG2	2100
ENSG00000260596.5	DUX4	1710
ENSG00000153404.13	PLEKHG4B	11513
ENSG00000185028.3	LRRC14B	1573
ENSG00000164366.3	CCDC127	9342
ENSG00000073578.16	SDHA	3001
ENSG00000249915.7	PDCD6	3763
ENSG00000063438.16	AHRR	5661
ENSG00000180104.15	EXOC3	5748
ENSG00000066230.10	SLC9A3	2584
ENSG00000112877.7	CEP72	2434
ENSG00000171368.11	TPPP	6022
ENSG00000206077.10	ZDHHC11B	2733
ENSG00000188818.12	ZDHHC11	3923
ENSG00000028310.17	BRD9	4865
ENSG00000071539.13	TRIP13	2672
ENSG00000145506.13	NKD2	2155
ENSG00000113504.20	SLC12A7	5280
ENSG00000174358.15	SLC6A19	5174
ENSG00000164363.9	SLC6A18	2121
ENSG00000164362.18	TERT	4018
ENSG00000049656.13	CLPTM1L	3540
ENSG00000142319.17	SLC6A3	3936
ENSG00000153395.9	LPCAT1	5610
ENSG00000171421.12	MRPL36	793
ENSG00000145494.11	NDUFS6	1082
ENSG00000113430.9	IRX4	2538
ENSG00000170561.12	IRX2	2630
ENSG00000186493.11	C5orf38	1441
ENSG00000170549.3	IRX1	1858
ENSG00000145536.15	ADAMTS16	4979
ENSG00000164151.11	ICE1	7927
ENSG00000133398.3	MED10	1141
ENSG00000215218.3	UBE2QL1	4317
ENSG00000037474.14	NSUN2	3558
ENSG00000145545.11	SRD5A1	7132
ENSG00000112941.13	PAPD7	5459
ENSG00000078295.15	ADCY2	9908
ENSG00000215217.6	C5orf49	2385
ENSG00000124275.14	MTRR	3274
ENSG00000124279.11	FASTKD3	2402
ENSG00000112902.11	SEMA5A	11762
ENSG00000169777.6	TAS2R1	1359
ENSG00000150756.13	FAM173B	1928
ENSG00000150753.11	CCT5	3675
ENSG00000164237.8	CMBL	2335
ENSG00000145495.14	MARCH6	9569
ENSG00000145491.11	ROPN1L	1291
ENSG00000164236.11	ANKRD33B	9188
ENSG00000112977.15	DAP	2339
ENSG00000169862.18	CTNND2	5481
ENSG00000039139.9	DNAH5	15633
ENSG00000038382.17	TRIO	11100
ENSG00000281325.1	AC016549.1	1802
ENSG00000145569.5	FAM105A	3597
ENSG00000154124.4	OTULIN	7800
ENSG00000154122.12	ANKH	8203
ENSG00000183580.9	FBXL7	4562
ENSG00000183654.8	MARCH11	1741
ENSG00000173545.4	ZNF622	1699
ENSG00000154153.13	FAM134B	3268
ENSG00000145555.14	MYO10	11456
ENSG00000176788.8	BASP1	1878
ENSG00000145526.11	CDH18	3542
ENSG00000154162.13	CDH12	4164
ENSG00000164256.10	PRDM9	3691
ENSG00000040731.10	CDH10	3438
ENSG00000113100.9	CDH9	3079
ENSG00000113361.12	CDH6	8476
ENSG00000113360.16	DROSHA	5305
ENSG00000082213.17	C5orf22	3612
ENSG00000133401.15	PDZD2	11704
ENSG00000113384.13	GOLPH3	2721
ENSG00000150712.10	MTMR12	5187
ENSG00000056097.15	ZFR	4738
ENSG00000113387.11	SUB1	4273
ENSG00000113389.15	NPR3	7344
ENSG00000113407.13	TARS	4314
ENSG00000151388.10	ADAMTS12	8774
ENSG00000182631.6	RXFP3	1852
ENSG00000164175.14	SLC45A2	2723
ENSG00000242110.7	AMACR	4153
ENSG00000273294.1	C1QTNF3-AMACR	3424
ENSG00000082196.20	C1QTNF3	2802
ENSG00000039560.13	RAI14	5092
ENSG00000205838.12	TTC23L	3410
ENSG00000113456.18	RAD1	5770
ENSG00000113460.12	BRIX1	2380
ENSG00000168724.14	DNAJC21	6208
ENSG00000113492.13	AGXT2	2364
ENSG00000113494.16	PRLR	11688
ENSG00000152582.12	SPEF2	6246
ENSG00000168685.14	IL7R	4626
ENSG00000152611.11	CAPSL	1004
ENSG00000145626.11	UGT3A1	5122
ENSG00000168671.9	UGT3A2	2355
ENSG00000164187.6	LMBRD2	8185
ENSG00000145604.15	SKP2	3759
ENSG00000152620.12	NADK2	3614
ENSG00000164188.8	RANBP3L	3104
ENSG00000079215.13	SLC1A3	4170
ENSG00000164190.16	NIPBL	10435
ENSG00000197603.13	C5orf42	11199
ENSG00000113569.15	NUP155	8143
ENSG00000082068.8	WDR70	5716
ENSG00000168621.14	GDNF	3810
ENSG00000164318.17	EGFLAM	4411
ENSG00000113594.9	LIFR	10089
ENSG00000145623.12	OSMR	5539
ENSG00000164327.12	RICTOR	9543
ENSG00000082074.15	FYB	4750
ENSG00000113600.10	C9	2713
ENSG00000153071.14	DAB2	4537
ENSG00000171522.5	PTGER4	3848
ENSG00000113638.12	TTC33	2612
ENSG00000132356.11	PRKAA1	5088
ENSG00000279126.1	AC008810.1	375
ENSG00000145592.13	RPL37	7686
ENSG00000132357.13	CARD6	4221
ENSG00000112936.18	C7	4257
ENSG00000171495.16	MROH2B	5239
ENSG00000039537.13	C6	3661
ENSG00000182836.9	PLCXD3	7704
ENSG00000083720.12	OXCT1	3388
ENSG00000205765.8	C5orf51	5241
ENSG00000151876.12	FBXO4	1731
ENSG00000112964.13	GHR	4814
ENSG00000198865.9	CCDC152	3431
ENSG00000250722.5	SEPP1	4175
ENSG00000177721.4	ANXA2R	2234
ENSG00000172262.11	ZNF131	3340
ENSG00000177453.7	NIM1K	2929
ENSG00000112972.14	HMGCS1	3506
ENSG00000151882.11	CCL28	3126
ENSG00000151881.14	C5orf28	2950
ENSG00000172244.8	C5orf34	2507
ENSG00000172239.13	PAIP1	2782
ENSG00000112992.16	NNT	6483
ENSG00000070193.4	FGF10	2193
ENSG00000112996.9	MRPS30	4331
ENSG00000164588.5	HCN1	9885
ENSG00000170571.11	EMB	4281
ENSG00000151883.16	PARP8	7177
ENSG00000016082.14	ISL1	2459
ENSG00000213949.8	ITGA1	10757
ENSG00000152684.10	PELO	4349
ENSG00000164171.10	ITGA2	7869
ENSG00000164172.18	MOCS2	3568
ENSG00000134363.11	FST	2538
ENSG00000164258.11	NDUFS4	833
ENSG00000185305.10	ARL15	3248
ENSG00000169271.2	HSPB3	784
ENSG00000178996.12	SNX18	5375
ENSG00000164283.12	ESM1	2169
ENSG00000113088.5	GZMK	1509
ENSG00000145649.7	GZMA	894
ENSG00000164287.12	CDC20B	2946
ENSG00000164294.13	GPX8	3422
ENSG00000234602.7	MCIDAS	2091
ENSG00000152669.8	CCNO	1726
ENSG00000067248.9	DHX29	4557
ENSG00000039123.15	SKIV2L2	4192
ENSG00000067113.16	PLPP1	1597
ENSG00000177058.11	SLC38A9	3509
ENSG00000152670.18	DDX4	2884
ENSG00000164509.13	IL31RA	2903
ENSG00000279768.1	AC008914.1	72
ENSG00000134352.19	IL6ST	9057
ENSG00000164512.17	ANKRD55	2502
ENSG00000225940.5	C5orf67	765
ENSG00000095015.5	MAP3K1	7011
ENSG00000155542.11	SETD9	1619
ENSG00000155545.19	MIER3	5240
ENSG00000062194.15	GPBP1	4683
ENSG00000169067.3	ACTBL2	2794
ENSG00000145632.14	PLK2	2960
ENSG00000175857.8	GAPT	3016
ENSG00000152932.7	RAB3C	8896
ENSG00000113448.16	PDE4D	8232
ENSG00000280447.1	AC109486.1	375
ENSG00000035499.12	DEPDC1B	2499
ENSG00000164181.13	ELOVL7	4165
ENSG00000049167.13	ERCC8	3424
ENSG00000164182.10	NDUFAF2	719
ENSG00000188725.7	SMIM15	2889
ENSG00000130449.5	ZSWIM6	5501
ENSG00000068796.16	KIF2A	3360
ENSG00000086189.9	DIMT1	2859
ENSG00000086200.16	IPO11	4356
ENSG00000186105.7	LRRC70	2249
ENSG00000178394.4	HTR1A	1778
ENSG00000164197.11	RNF180	4906
ENSG00000186479.4	RGS7BP	4160
ENSG00000145642.11	FAM159B	847
ENSG00000153006.14	SREK1IP1	6876
ENSG00000153015.15	CWC27	2103
ENSG00000049192.14	ADAMTS6	7311
ENSG00000123219.12	CENPK	1734
ENSG00000113593.11	PPWD1	2195
ENSG00000113595.14	TRIM23	4186
ENSG00000113597.17	TRAPPC13	5994
ENSG00000253251.2	CTC-534A2.2	1766
ENSG00000197860.9	SGTB	5469
ENSG00000123213.22	NLN	8661
ENSG00000112851.14	ERBB2IP	8647
ENSG00000153914.15	SREK1	9353
ENSG00000069020.18	MAST4	10711
ENSG00000134061.5	CD180	5388
ENSG00000145675.14	PIK3R1	7011
ENSG00000145740.18	SLC30A5	4360
ENSG00000134057.14	CCNB1	2169
ENSG00000153044.9	CENPH	1389
ENSG00000134056.11	MRPS36	1286
ENSG00000134058.10	CDK7	1455
ENSG00000183323.12	CCDC125	4198
ENSG00000085231.13	AK6	1648
ENSG00000273841.4	TAF9	1461
ENSG00000152942.18	RAD17	3233
ENSG00000152939.14	MARVELD2	4376
ENSG00000197822.10	OCLN	6438
ENSG00000183474.15	GTF2H2C	2952
ENSG00000205572.9	SERF1B	1889
ENSG00000205571.12	SMN2	1550
ENSG00000172058.15	SERF1A	1889
ENSG00000172062.16	SMN1	1550
ENSG00000249437.7	NAIP	6124
ENSG00000145736.14	GTF2H2	4336
ENSG00000145734.18	BDP1	11073
ENSG00000131844.15	MCCC2	3665
ENSG00000164326.4	CARTPT	926
ENSG00000131711.14	MAP1B	12036
ENSG00000113048.16	MRPS27	4435
ENSG00000049883.14	PTCD2	11151
ENSG00000178175.11	ZNF366	3830
ENSG00000083312.17	TNPO1	11183
ENSG00000157107.13	FCHO2	4981
ENSG00000157111.12	TMEM171	1535
ENSG00000164325.7	TMEM174	1759
ENSG00000251493.3	FOXD1	2107
ENSG00000145741.15	BTF3	1237
ENSG00000164331.9	ANKRA2	2063
ENSG00000164338.9	UTP15	4922
ENSG00000214944.9	ARHGEF28	8285
ENSG00000171617.13	ENC1	5657
ENSG00000049860.13	HEXB	2021
ENSG00000164347.17	GFM2	3249
ENSG00000164346.9	NSA2	4594
ENSG00000198780.11	FAM169A	5990
ENSG00000176928.5	GCNT4	5554
ENSG00000145700.9	ANKRD31	6207
ENSG00000113161.15	HMGCR	4585
ENSG00000113163.15	COL4A3BP	5651
ENSG00000122008.15	POLK	5911
ENSG00000189045.13	ANKDD1B	2569
ENSG00000152359.14	POC5	2229
ENSG00000122012.13	SV2C	11035
ENSG00000254893.5	AC113404.1	1917
ENSG00000145703.15	IQGAP2	5844
ENSG00000164220.6	F2RL2	3429
ENSG00000181104.6	F2R	3821
ENSG00000164251.4	F2RL1	2914
ENSG00000171643.13	S100Z	1468
ENSG00000145708.10	CRHBP	1980
ENSG00000164252.12	AGGF1	4509
ENSG00000132846.5	ZBED3	6172
ENSG00000113231.13	PDE8B	5956
ENSG00000164253.12	WDR41	3958
ENSG00000171540.7	OTP	3669
ENSG00000171530.13	TBCA	2301
ENSG00000132842.13	AP3B1	5838
ENSG00000085365.17	SCAMP1	4509
ENSG00000145685.13	LHFPL2	5043
ENSG00000113273.15	ARSB	5327
ENSG00000132837.14	DMGDH	3106
ENSG00000132840.9	BHMT2	2050
ENSG00000145692.14	BHMT	2502
ENSG00000152409.8	JMY	9042
ENSG00000152413.14	HOMER1	5881
ENSG00000164329.13	PAPD4	3523
ENSG00000164309.14	CMYA5	12847
ENSG00000177034.14	MTX3	6155
ENSG00000113296.14	THBS4	3222
ENSG00000164300.15	SERINC5	6479
ENSG00000164299.6	SPZ1	1868
ENSG00000039319.16	ZFYVE16	6773
ENSG00000152380.9	FAM151B	2185
ENSG00000189127.7	ANKRD34B	3938
ENSG00000228716.6	DHFR	3917
ENSG00000113318.9	MSH3	4092
ENSG00000113319.11	RASGRF2	8167
ENSG00000131730.15	CKMT2	1637
ENSG00000131732.11	ZCCHC9	4606
ENSG00000172497.8	ACOT12	2086
ENSG00000145687.15	SSBP2	8780
ENSG00000152348.15	ATG10	3033
ENSG00000186468.12	RPS23	3437
ENSG00000205464.11	ATP6AP1L	3524
ENSG00000174695.9	TMEM167A	4630
ENSG00000152422.15	XRCC4	1696
ENSG00000038427.15	VCAN	12625
ENSG00000145681.10	HAPLN1	5607
ENSG00000164176.12	EDIL3	4727
ENSG00000127184.10	COX7C	1584
ENSG00000145715.14	RASA1	4979
ENSG00000134480.13	CCNH	2391
ENSG00000164180.13	TMEM161B	7608
ENSG00000081189.13	MEF2C	7561
ENSG00000153140.8	CETN3	2432
ENSG00000176055.9	MBLAC2	4280
ENSG00000113356.10	POLR3G	3285
ENSG00000176018.12	LYSMD3	4259
ENSG00000164199.15	ADGRV1	19338
ENSG00000113369.8	ARRDC3	4188
ENSG00000175745.11	NR2F1	3732
ENSG00000113391.16	FAM172A	4312
ENSG00000248483.5	POU5F2	6318
ENSG00000185261.13	KIAA0825	5751
ENSG00000133302.12	SLF1	5905
ENSG00000175471.19	MCTP1	5396
ENSG00000153347.9	FAM81B	1560
ENSG00000198677.10	TTC37	5706
ENSG00000164291.16	ARSK	3354
ENSG00000178015.4	GPR150	2065
ENSG00000175449.13	RFESD	2788
ENSG00000145757.15	SPATA9	2169
ENSG00000164292.12	RHOBTB3	5537
ENSG00000173221.13	GLRX	3407
ENSG00000118985.15	ELL2	6046
ENSG00000175426.10	PCSK1	5086
ENSG00000153113.23	CAST	4506
ENSG00000164307.12	ERAP1	5495
ENSG00000164308.16	ERAP2	5705
ENSG00000113441.15	LNPEP	12752
ENSG00000145721.11	LIX1	4026
ENSG00000058729.10	RIOK2	3922
ENSG00000174136.11	RGMB	4580
ENSG00000279232.1	AC008522.1	2904
ENSG00000153922.10	CHD1	8095
ENSG00000174132.8	FAM174A	1356
ENSG00000113532.12	ST8SIA4	6303
ENSG00000173930.8	SLCO4C1	5334
ENSG00000205359.9	SLCO6A1	2689
ENSG00000145730.20	PAM	5432
ENSG00000145723.16	GIN1	3325
ENSG00000145725.19	PPIP5K2	15407
ENSG00000181751.9	C5orf30	3049
ENSG00000112874.9	NUDT12	3492
ENSG00000184349.12	EFNA5	5335
ENSG00000145743.15	FBXL17	5188
ENSG00000151422.12	FER	12119
ENSG00000198961.9	PJA2	4889
ENSG00000112893.9	MAN2A1	5599
ENSG00000186952.14	TMEM232	4217
ENSG00000164209.16	SLC25A46	6236
ENSG00000145777.14	TSLP	2621
ENSG00000134987.11	WDR36	7048
ENSG00000152495.10	CAMK4	12240
ENSG00000164211.12	STARD4	4606
ENSG00000134986.13	NREP	3564
ENSG00000129595.12	EPB41L4A	4707
ENSG00000134982.16	APC	10701
ENSG00000258864.1	CTC-554D6.1	694
ENSG00000272869.5	CTC-487M23.8	1850
ENSG00000153037.13	SRP19	2841
ENSG00000129625.12	REEP5	3326
ENSG00000212643.2	ZRSR1	1673
ENSG00000172795.15	DCP2	8947
ENSG00000171444.17	MCC	8257
ENSG00000212122.3	TSSK1B	2478
ENSG00000047188.15	YTHDC2	6708
ENSG00000080709.14	KCNN2	3076
ENSG00000152503.9	TRIM36	4218
ENSG00000164219.9	PGGT1B	9545
ENSG00000164221.12	CCDC112	2566
ENSG00000145780.7	FEM1C	5816
ENSG00000251201.8	TMED7-TICAM2	3491
ENSG00000243414.5	TICAM2	3049
ENSG00000134970.13	TMED7	3757
ENSG00000129596.4	CDO1	1860
ENSG00000145782.12	ATG12	4333
ENSG00000177879.14	AP3S1	1730
ENSG00000280329.1	AC026449.1	63
ENSG00000172901.19	LVRN	4581
ENSG00000268714.3	CTD-2287O16.3	420
ENSG00000268223.3	ARL14EPL	1914
ENSG00000145781.8	COMMD10	1469
ENSG00000092421.16	SEMA6A	6878
ENSG00000169570.9	DTWD2	4365
ENSG00000172869.14	DMXL1	11236
ENSG00000145779.7	TNFAIP8	8681
ENSG00000133835.14	HSD17B4	5540
ENSG00000164334.15	FAM170A	1374
ENSG00000184838.14	PRR16	1826
ENSG00000181867.2	FTMT	879
ENSG00000151304.5	SRFBP1	2855
ENSG00000113083.12	LOX	5102
ENSG00000164185.4	ZNF474	1964
ENSG00000064692.18	SNCAIP	4986
ENSG00000205302.6	SNX2	2128
ENSG00000064652.10	SNX24	2158
ENSG00000168938.5	PPIC	1380
ENSG00000061455.10	PRDM6	9267
ENSG00000168944.15	CEP120	4900
ENSG00000151292.17	CSNK1G3	4635
ENSG00000168916.15	ZNF608	5958
ENSG00000155324.9	GRAMD3	3175
ENSG00000164904.15	ALDH7A1	4964
ENSG00000164902.13	PHAX	4288
ENSG00000196900.4	TEX43	464
ENSG00000113368.11	LMNB1	3475
ENSG00000173926.5	MARCH3	4196
ENSG00000164241.13	C5orf63	5680
ENSG00000145794.16	MEGF10	7594
ENSG00000164244.20	PRRC1	5504
ENSG00000205279.8	CTXN3	1660
ENSG00000064651.13	SLC12A2	6885
ENSG00000138829.10	FBN2	11132
ENSG00000113396.12	SLC27A6	3219
ENSG00000066583.11	ISOC1	1940
ENSG00000145808.8	ADAMTS19	5234
ENSG00000186367.6	KIAA1024L	2354
ENSG00000198108.3	CHSY3	3850
ENSG00000169567.11	HINT1	1081
ENSG00000186687.15	LYRM7	6351
ENSG00000158985.13	CDC42SE2	4352
ENSG00000158987.20	RAPGEF6	8357
ENSG00000273217.1	CTC-432M15.3	6393
ENSG00000217128.11	FNIP1	6589
ENSG00000239642.5	MEIKIN	1438
ENSG00000281938.1	CTB-127M13.1	3126
ENSG00000164398.12	ACSL6	6539
ENSG00000164399.4	IL3	1050
ENSG00000164400.5	CSF2	787
ENSG00000072682.18	P4HA2	3349
ENSG00000131435.12	PDLIM4	2282
ENSG00000197208.5	SLC22A4	2201
ENSG00000197375.12	SLC22A5	10435
ENSG00000197536.10	C5orf56	4767
ENSG00000125347.13	IRF1	5153
ENSG00000113525.9	IL5	905
ENSG00000113522.13	RAD50	8306
ENSG00000169194.9	IL13	1562
ENSG00000113520.10	IL4	717
ENSG00000131437.15	KIF3A	6325
ENSG00000205089.7	CCNI2	2642
ENSG00000164402.13	SEPT8	4394
ENSG00000198944.5	SOWAHA	3211
ENSG00000164403.14	SHROOM1	4019
ENSG00000164404.8	GDF9	2640
ENSG00000164405.10	UQCRQ	874
ENSG00000164406.7	LEAP2	2207
ENSG00000072364.12	AFF4	9552
ENSG00000155329.11	ZCCHC10	2178
